V1,V2,V3
0.2085319431203178,0.6302146282592263,0.2876525347168099
0.3526470990340784,0.30025673539882514,-0.16273741018136453
0.3866003522505769,0.252316283023416,-0.28709119278308165
0.38118755236692453,-0.01784862322083483,-0.4039740695525542
0.329705862884496,-0.25235645009497504,-0.35252870414143467
0.31523510836339136,-0.35990527664385974,-0.025726734122511634
0.3094960948097967,-0.3839539911750248,0.3066587359116541
0.28246520001211506,-0.19116299147188706,0.45414127994157455
0.24350004459152355,-0.003865124567724084,0.40105953680080064
0.20458378021546458,0.09903587219643128,0.22113521935971328
0.16646980090938512,0.13901942100801823,0.08580334026140728
0.1271528475105808,0.11650702564008286,0.05296644988557782
0.09332889278077479,-0.16967752599332475,-0.004089363055442635
